# first mixture:
# 14:00.15  14.74
14:01:43  5.43
14:03:59  4.23
14:12:27  5.35
14:13:47  5.56
14:14:40  5.58
14:18:31  6.50
14:19:30  6.58
14:20:30  6.78
14:21:30  6.99
14:22:30  7.09
14:23:30  7.29
14:24:30  7.52
14:25:30  7.57
14:26:30  7.98
14:27:30  7.98
14:28:31  8.21
14:29:30  8.44
14:30:30  8.54
14:31:30  8.69
14:32:35  8.82
14:33:30  9.00
14:34:30  9.36
14:35:30  9.56
14:36:30  9.71
14:37:30  9.87
14:38:30  10.10
14:39:30  10.22
14:40:30  10.45
14:41:30  10.58

# second mixture:
14:49:47 21.46
14:51:04 15.25
14:52:22 11.45
14:52:57 11.07
14:53:52 10.92
14:54:30 10.82
14:56:00 10.82
14:57:00 11.22
14:58:14 11.73
14:59:00 11.99
15:00:00 12.52
15:01:00 12.96
15:02:00 13.47
15:03:00 13.98
15:04:00 14.39
15:05:00 14.82
15:06:00 15.38
15:07:00 15.79
15:08:00 16.17
15:09:00 16.71
15:10:00 17.09
15:11:07 17.63

# third mixture:
15:23:37 19.21 
15:25:21 10.54
15:25:45 9.72
15:26:00 9.42
15:27:00 8.80
15:28:00 8.58
15:29:00 8.52
15:30:00 8.48
15:31:00 8.86
15:32:00 9.62
15:33:00 10.54
15:34:00 11.53
15:35:00 12.40
15:36:00 13.39
15:37:00 14.33
15:38:00 15.16
15:39:00 16.12
15:40:00 16.99
